Nome;Loja;Preco;Desconto;PrecoFinal;Score;Text
Notebook Lenovo Ideapad 3;Amazon;3500.0;10;3150.0;0.95;Notebook com Ryzen 5 e 8GB RAM
Notebook Lenovo Ideapad 3;Magazine Luiza;3600.0;15;3060.0;0.89;Notebook com Ryzen 5, SSD 256GB e 8GB RAM
Smartphone Samsung Galaxy A34;Americanas;2100.0;5;1995.0;0.93;Smartphone com 128GB e 8GB RAM
Smartphone Samsung Galaxy A34;Submarino;2099.9;8;1931.91;0.91;Galaxy A34 5G com câmera tripla
Monitor LG Ultrawide 29'';Kabum;1300.0;10;1170.0;0.88;Monitor ultrawide 75Hz 29 polegadas
Monitor LG Ultrawide 29'';Pichau;1280.0;5;1216.0;0.9;Monitor ultrawide tela IPS
Mouse Logitech G203;Amazon;150.0;20;120.0;0.96;Mouse gamer com RGB e 8000 DPI
Mouse Logitech G203;Kabum;140.0;10;126.0;0.94;Mouse gamer RGB preto
Teclado Mecânico Redragon Kumara;Submarino;250.0;15;212.5;0.92;Teclado mecânico switches azuis
Teclado Mecânico Redragon Kumara;Amazon;260.0;20;208.0;0.9;Teclado mecânico com LED vermelho
